,coilno,clean
456,400444,1
457,400445,1
458,400446,1
459,400799,1
460,400800,1
461,400447,1
462,400448,1
463,400575,1
464,400576,1
465,400449,1
466,400450,1
467,400451,1
468,400452,1
469,400453,1
470,400454,1
471,400455,1
472,400456,1
473,400457,0
474,400458,1
475,400459,1
476,400460,1
477,400461,1
478,400462,1
479,400463,1
480,400464,1
481,400465,1
482,400466,1
483,400467,1
484,400468,1
485,400469,1
486,400470,1
487,400471,1
488,400472,1
489,400473,1
490,400474,1
491,400475,1
492,400476,1
493,400477,1
494,400478,1
495,400479,1
496,400480,1
497,400481,1
498,400482,1
499,400483,1
500,400484,1
501,400485,1
502,400486,1
503,400487,1
504,400488,1
505,400489,1
506,400490,1
507,400491,1
508,400492,1
509,400493,1
510,400494,1
511,400495,1
512,400496,1
513,400497,1
514,400498,1
515,400499,1
516,400500,1
517,400501,1
518,400503,1
519,400504,1
520,400505,1
521,400506,1
522,400507,1
523,400508,1
524,400509,1
525,400510,1
526,400511,1
527,400512,1
528,400513,1
529,400514,1
530,400515,1
531,400516,1
532,400517,1
533,400518,1
534,400519,1
535,400520,1
536,400521,1
537,400522,1
538,400523,1
539,400524,1
540,400525,1
541,400526,1
542,400527,1
543,400528,1
544,400529,1
545,400530,1
546,400531,1
547,400532,1
548,400533,1
549,400534,1
550,400535,1
551,400536,1
552,400537,1
553,400538,1
554,400539,1
555,400540,1
556,400541,1
557,400542,1
558,400543,1
559,400544,1
560,400545,1
561,400546,1
562,400547,1
563,400548,1
564,400549,1
565,400550,1
566,400551,1
567,400552,1
568,400553,1
569,400554,1
570,400555,1
571,400556,1
572,400557,1
573,400558,1
574,400559,1
575,400560,1
576,400561,1
577,400562,1
578,400564,1
579,400565,1
580,400566,1
581,400568,1
582,400801,1
583,400569,1
584,400570,1
585,400571,1
586,400572,1
587,400573,1
588,400574,1
589,400577,1
590,400578,1
591,400579,1
592,400580,1
593,400581,1
594,400582,1
595,400583,1
596,400585,1
597,400586,1
598,400587,1
599,400588,1
600,400589,1
601,400590,1
602,400591,1
603,400592,1
604,400593,1
605,400594,1
606,400595,1
607,400596,1
608,400598,1
609,400599,1
610,400600,1
611,400601,1
612,400602,1
613,400603,1
614,400604,1
615,400605,1
616,400606,1
617,400607,1
618,400608,1
619,400609,1
620,400610,1
621,400611,1
622,400612,1
623,400613,1
624,400614,1
625,400615,1
626,400616,1
627,400617,1
628,400618,1
629,400619,1
630,400620,1
631,400621,1
632,400622,1
633,400623,1
634,400624,1
635,400625,1
636,400626,1
637,400627,1
638,400628,1
639,400629,1
640,400630,1
641,400631,1
642,400632,1
643,400634,1
644,400635,1
645,400636,1
646,400637,1
647,400638,1
648,400639,1
649,400640,1
650,400641,1
651,400642,1
652,400643,1
653,400644,1
654,400645,1
655,400646,1
656,400647,1
657,400648,1
658,400649,1
659,400650,1
660,400651,1
661,400652,1
662,400653,1
663,400654,1
664,400655,1
665,400656,1
666,400657,1
667,400658,1
668,400659,1
669,400660,1
670,400661,1
671,400662,1
672,400663,1
673,400664,1
674,400665,1
675,400666,1
676,400667,1
677,400668,1
678,400669,1
679,400670,1
680,400671,1
681,400672,1
682,400673,1
683,400674,1
684,400675,1
685,400676,1
686,400677,1
687,400678,1
688,400679,1
689,400680,1
690,400681,1
691,400682,1
692,400683,1
693,400684,1
694,400685,1
695,400686,1
696,400687,1
697,400688,1
698,400689,1
699,400690,1
700,400692,1
701,400693,1
702,400694,1
703,400695,1
704,400696,1
705,400697,1
706,400698,1
707,400699,1
708,400700,1
709,400701,1
710,400702,1
711,400703,1
712,400704,1
713,400705,1
714,400706,1
715,400707,1
716,400708,1
717,400709,1
718,400710,1
719,400711,1
720,400712,1
721,400713,1
722,400714,1
723,400715,1
724,400716,1
725,400717,1
726,400718,1
727,400719,1
728,400720,1
729,400721,1
730,400722,1
731,400723,1
732,400724,1
733,400725,1
734,400726,1
735,400727,1
736,400728,1
737,400729,1
738,400730,1
739,400731,1
740,400732,1
741,400733,1
742,400737,1
743,400738,1
744,400739,1
745,400740,1
746,400741,1
747,400742,1
748,400743,1
749,400744,1
750,400745,1
751,400746,1
752,400748,1
753,400749,1
754,400750,1
755,400751,1
756,400752,1
757,400753,1
758,400754,1
759,400755,1
760,400756,1
761,400757,1
762,400758,1
763,400759,1
764,400760,1
765,400761,1
766,400762,1
767,400763,1
768,400764,1
769,400765,1
770,400766,1
771,400767,1
772,400768,1
773,400769,1
774,400770,1
775,400771,1
776,400772,1
777,400773,1
778,400774,1
779,400775,1
780,400776,1
781,400777,1
782,400778,1
783,400779,1
784,400780,1
785,400781,1
786,400782,1
787,400783,1
788,400784,1
789,400785,1
790,400786,1
791,400787,1
792,400788,1
793,400789,1
794,400790,1
795,400791,1
796,400792,1
797,400793,1
798,400794,1
799,400795,1
800,400796,1
801,400797,1
802,400798,1
803,400802,1
804,400803,1
805,400804,1
806,400805,1
807,400806,1
808,400807,1
809,400808,1
